GeneInfo	CA_N_007	CA_N_012	CA_N_030	CA_P_013	CA_P_041	CA_P_055	CA_SL_019	CA_SL_048	CA_SL_056	CA_SM_029	CA_SM_039	CA_SM_049
Caust.v2_013162-RC	1784	1732	2180	2115	1659	1582	1431	1887	1950	1614	1501	1359
Caust.v2_013162-RD	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_013162-RA	0	0	0	0	0	0	0	0	0	0	1	0
Caust.v2_013162-RF	0	1	3	0	0	1	0	0	0	0	0	0
Caust.v2_013157-RA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_013158-RA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_013160-RA	0	0	0	0	0	1	0	0	0	0	0	0
Caust.v2_013160-RD	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_013160-RB	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_013160-RC	15	18	20	14	5	10	21	19	11	15	22	20
Caust.v2_013160-RC	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_013160-RC	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_013161-RA	1957	2623	2434	2998	2419	1832	1720	2515	2114	1754	2539	2043
Caust.v2_013163-RA	7	0	6	2	3	4	2	0	3	5	2	2
Caust.v2_013166-RA	4	1	1	3	2	2	4	9	7	3	0	7
Caust.v2_013167-RA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_013165-RA	0	0	0	0	0	1	1	0	2	0	0	2
Caust.v2_013164-RA	0	0	0	0	0	0	2	0	0	0	1	0
Caust.v2_013156-RA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_022550-RA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_015782-RA	308	249	178	287	213	171	213	300	275	270	233	288
Caust.v2_015782-RA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_015782-RB	7	2	1	1	1	4	4	4	5	8	5	7
Caust.v2_015785-RA	1724	1595	1835	1886	1897	1457	1678	1874	1554	1536	1471	1961
Caust.v2_015788-RA	328	219	264	245	220	258	266	344	210	216	193	312
Caust.v2_015781-RA	114	37	66	68	23	89	98	119	57	54	56	213
Caust.v2_015784-RA	4	3	5	3	1	2	5	3	1	8	2	4
Caust.v2_015786-RA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_015787-RA	88	125	118	104	141	147	119	179	133	107	154	220
Caust.v2_015783-RA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_015790-RA	23	42	4	13	4	8	1	36	3	5	22	7
Caust.v2_015789-RA	0	0	0	0	0	0	1	0	0	0	0	0
Caust.v2_021423-RA	0	0	0	0	0	0	1	0	0	0	0	0
Caust.v2_021100-RA	0	0	0	0	2	0	0	0	0	0	0	0
Caust.v2_013563-RA	4	92	1	6	2	1	1	2	12	1	1	0
Caust.v2_013565-RB	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_013565-RB	714	460	514	632	354	565	735	865	507	550	435	936
Caust.v2_013565-RA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_013567-RA	6509	9068	17536	22040	19474	6761	4919	7838	9482	7601	12599	5113
Caust.v2_013562-RA	430	505	302	343	217	362	442	478	333	276	298	552
Caust.v2_013566-RA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_013572-RA	0	1	0	0	0	0	0	0	0	0	0	0
Caust.v2_013570-RA	0	0	0	0	0	0	0	0	1	0	0	0
Caust.v2_013564-RA	19	8	9	4	6	19	9	11	10	7	6	13
Caust.v2_013560-RA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_013571-RA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_013573-RA	0	0	0	0	0	0	0	1	0	0	0	0
Caust.v2_013576-RA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_013575-RA	0	0	0	0	0	0	0	0	1	0	0	0
Caust.v2_013561-RA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_013568-RA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_013569-RA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_013574-RA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_004522-RA	76	29	44	36	45	41	27	130	24	9	29	79
Caust.v2_004525-RA	340	213	183	416	143	270	767	725	255	236	215	2188
Caust.v2_004526-RA	506	320	323	509	306	337	1176	950	301	288	196	2582
Caust.v2_004528-RA	110	62	76	80	53	83	163	128	65	107	64	238
Caust.v2_004528-RA	64	53	75	52	46	70	75	64	64	55	40	54
Caust.v2_004528-RA	1485	1058	1128	1223	847	1526	1110	1515	1354	1259	861	1516
Caust.v2_004528-RB	3	0	1	1	0	0	2	0	0	4	1	1
Caust.v2_004528-RC	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_004532-RA	5	3	0	8	3	1	3	4	10	3	1	0
Caust.v2_004523-RA	5	5	3	2	3	1	0	1	3	3	3	4
Caust.v2_004523-RC	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_004523-RB	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_004523-RB	396	835	584	790	324	472	698	488	531	553	551	499
Caust.v2_004523-RB	34	35	32	42	30	18	10	26	38	14	21	14
Caust.v2_004527-RA	258	228	241	374	292	290	279	276	264	288	268	310
Caust.v2_004529-RA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_004530-RA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_004531-RA	0	1	0	0	0	0	0	1	0	0	0	1
Caust.v2_004531-RC	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_004531-RB	199	139	106	183	190	175	37	53	51	67	150	224
Caust.v2_004531-RB	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_004531-RB	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_004533-RA	2312	2136	2544	2826	2207	2441	2714	3041	2416	2129	2467	2491
Caust.v2_004534-RD	3082	1056	1701	1821	873	2733	2499	3296	1815	2280	1680	5133
Caust.v2_004535-RA	14	4	7	13	5	4	21	17	11	12	17	13
Caust.v2_004524-RA	24	24	21	23	25	24	25	14	24	12	14	8
Caust.v2_004536-RA	2499	1281	1892	2009	1256	1913	2028	2684	1376	1770	1759	2381
Caust.v2_004538-RB	0	0	0	0	0	0	0	1	0	0	0	0
Caust.v2_004538-RB	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_004538-RA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_004543-RB	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_004543-RA	106138	222333	144866	241234	269723	171117	241576	294945	323441	151941	373382	315014
Caust.v2_004546-RA	13	2	3	3	3	5	8	8	5	8	5	5
Caust.v2_004546-RA	547	327	583	391	306	411	337	437	389	355	361	469
Caust.v2_004546-RB	1	1	2	2	1	0	2	4	3	0	0	0
Caust.v2_004552-RA	50	85	45	79	76	38	23	51	90	41	58	39
Caust.v2_004556-RC	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_004556-RC	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_004556-RC	45	30	41	38	26	14	20	33	36	19	27	10
Caust.v2_004556-RC	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_004556-RC	84	34	66	71	31	65	89	75	73	60	36	96
Caust.v2_004556-RF	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_004556-RF	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_004556-RI	7	4	9	5	4	6	6	2	7	1	11	1
